"Ид","Ид ОК","Время","Обводненность, %","Вода, %","Газ, %","Нефть, %","Давление, МПа","Температура, °С","MassFlowrate","WaterFlowrate","OilFlowrate","GasFlowrate","Плотность нефти","Плотность Воды"
"1461","2","01.24.2017 03:35:31.388","3","0","0","0","800000","0,0510370917618275","0","0","0","0","0","0"
"1462","2","01.24.2017 03:35:35.677","3","0","0","0","800000","0,466519087553024","0","0","0","0","0","0"
"1463","2","01.24.2017 03:35:32.798","3","0","0","0","800000","0,460473895072937","0","0","0","0","0","0"
"1464","2","01.24.2017 03:35:37.087","3","0","0","0","800000","0,166286930441856","0","0","0","0","0","0"
"1465","2","01.24.2017 03:36:04.068","3","0","0","0","800000","0,34440803527832","0","0","0","0","0","0"
"1466","2","01.24.2017 03:35:56.997","3","0","0","0","800000","0,263003081083298","0","0","0","0","0","0"
"1467","2","01.24.2017 03:35:58.408","3","0","0","0","800000","0,0504326447844505","0","0","0","0","0","0"
"1468","2","01.24.2017 03:35:49.928","3","0","0","0","800000","0,0703794434666634","0","0","0","0","0","0"
"1469","2","01.24.2017 03:35:47.048","3","0","0","0","800000","0,408485561609268","0","0","0","0","0","0"
"1470","2","01.24.2017 03:35:51.338","3","0","0","0","800000","-0,0999340042471886","0","0","0","0","0","0"
"1471","2","01.24.2017 03:35:48.458","3","0","0","0","800000","0,19207763671875","0","0","0","0","0","0"
"1472","2","01.24.2017 03:35:52.748","3","0","0","0","800000","0,234592437744141","0","0","0","0","0","0"
"1473","2","01.24.2017 03:35:55.568","3","0","0","0","800000","0,0659468173980713","0","0","0","0","0","0"
"1474","2","01.24.2017 03:35:59.828","3","0","0","0","800000","0,352669537067413","0","0","0","0","0","0"
"1475","2","01.24.2017 03:36:01.237","3","0","0","0","800000","0,13465328514576","0","0","0","0","0","0"
"1476","2","01.24.2017 03:36:02.648","3","0","0","0","800000","0,418359249830246","0","0","0","0","0","0"
"1477","2","01.24.2017 03:35:54.168","3","0","0","0","800000","0,285570621490479","0","0","0","0","0","0"
"1478","2","01.24.2017 03:35:45.627","3","0","0","0","800000","0,361535549163818","0","0","0","0","0","0"
"1479","2","01.24.2017 03:36:22.627","3","0","0","0","800000","0,463496476411819","0","0","0","0","0","0"
"1480","2","01.24.2017 03:36:15.488","3","0","0","0","800000","0,511455476284027","0","0","0","0","0","0"
"1481","2","01.24.2017 03:36:09.798","3","0","0","0","800000","0,451809078454971","0","0","0","0","0","0"
"1482","2","01.24.2017 03:36:16.907","3","0","0","0","800000","0,100400619208813","0","0","0","0","0","0"
"1483","2","01.24.2017 03:36:25.481","3","0","0","0","800000","0,419769763946533","0","0","0","0","0","0"
"1484","2","01.24.2017 03:36:08.397","3","0","0","0","800000","0,225726753473282","0","0","0","0","0","0"
"1485","2","01.24.2017 03:36:11.217","3","0","0","0","800000","0,131429478526115","0","0","0","0","0","0"
"1486","2","01.24.2017 03:36:24.048","3","0","0","0","800000","0,224517777562141","0","0","0","0","0","0"
"1487","2","01.24.2017 03:36:19.728","3","0","0","0","800000","0,229756608605385","0","0","0","0","0","0"
"1488","2","01.24.2017 03:36:18.327","3","0","0","0","800000","0,188652291893959","0","0","0","0","0","0"
"1489","2","01.24.2017 03:36:14.068","3","0","0","0","800000","0,403649479150772","0","0","0","0","0","0"
"1490","2","01.24.2017 03:36:06.969","3","0","0","0","800000","0,29383197426796","0","0","0","0","0","0"
"1491","2","01.24.2017 03:36:05.498","3","0","0","0","800000","0,21464467048645","0","0","0","0","0","0"
"1492","2","01.24.2017 03:36:12.638","3","0","0","0","800000","0,277913749217987","0","0","0","0","0","0"
"1493","2","01.24.2017 03:36:21.148","3","0","0","0","800000","0,138884514570236","0","0","0","0","0","0"
"1494","2","01.24.2017 03:36:31.202","3","0","0","0","800000","0,432061582803726","0","0","0","0","0","0"
"1495","2","01.24.2017 03:36:36.897","3","0","0","0","800000","0,0258518997579813","0","0","0","0","0","0"
"1496","2","01.24.2017 03:36:41.216","3","0","0","0","800000","0,544503211975098","0","0","0","0","0","0"
"1497","2","01.24.2017 03:36:44.039","3","0","0","0","800000","0,145130634307861","0","0","0","0","0","0"
"1498","2","01.24.2017 03:36:42.628","3","0","0","0","800000","0,0506341308355331","0","0","0","0","0","0"
"1499","2","01.24.2017 03:36:32.618","3","0","0","0","800000","0,23197303712368","0","0","0","0","0","0"
"1500","2","01.24.2017 03:36:29.768","3","0","0","0","800000","0,0897219181060791","0","0","0","0","0","0"
"1501","2","01.24.2017 03:36:38.387","3","0","0","0","800000","0,272070378065109","0","0","0","0","0","0"
"1502","2","01.24.2017 03:36:39.798","3","0","0","0","800000","0,303906798362732","0","0","0","0","0","0"
"1503","2","01.24.2017 03:36:34.038","3","0","0","0","800000","0,525359630584717","0","0","0","0","0","0"
"1504","2","01.24.2017 03:36:35.477","3","0","0","0","800000","0,107654094696045","0","0","0","0","0","0"
"1505","2","01.24.2017 03:36:28.341","3","0","0","0","800000","0,507425248622894","0","0","0","0","0","0"
"1506","2","01.24.2017 03:36:45.468","3","0","0","0","800000","0,185831427574158","0","0","0","0","0","0"
"1507","2","01.24.2017 03:36:26.908","3","0","0","0","800000","0,134048819541931","0","0","0","0","0","0"
"1508","2","01.24.2017 03:37:06.887","3","0","0","0","800000","0,471153765916824","0","0","0","0","0","0"
"1509","2","01.24.2017 03:37:02.629","3","0","0","0","800000","0,422187864780426","0","0","0","0","0","0"
"1510","2","01.24.2017 03:36:52.677","3","0","0","0","800000","0,220890924334526","0","0","0","0","0","0"
"1511","2","01.24.2017 03:36:58.378","3","0","0","0","800000","-0,1019466817379","0","0","0","0","0","0"
"1512","2","01.24.2017 03:36:54.088","3","0","0","0","800000","0,229152128100395","0","0","0","0","0","0"
"1513","2","01.24.2017 03:36:49.837","3","0","0","0","800000","0,112691231071949","0","0","0","0","0","0"
"1514","2","01.24.2017 03:36:59.788","3","0","0","0","800000","-0,11272669583559","0","0","0","0","0","0"
"1515","2","01.24.2017 03:36:46.898","3","0","0","0","800000","0,194898515939713","0","0","0","0","0","0"
"1516","2","01.24.2017 03:37:04.048","3","0","0","0","800000","0,184421002864838","0","0","0","0","0","0"
"1517","2","01.24.2017 03:36:48.436","3","0","0","0","800000","0,522337019443512","0","0","0","0","0","0"
"1518","2","01.24.2017 03:37:05.467","3","0","0","0","800000","0,0623201206326485","0","0","0","0","0","0"
"1519","2","01.24.2017 03:36:51.257","3","0","0","0","800000","0,160242259502411","0","0","0","0","0","0"
"1520","2","01.24.2017 03:37:01.208","3","0","0","0","800000","0,187846332788467","0","0","0","0","0","0"
"1521","2","01.24.2017 03:36:56.958","3","0","0","0","800000","0,140899389982224","0","0","0","0","0","0"
"1522","2","01.24.2017 03:36:55.548","3","0","0","0","800000","0,123571492731571","0","0","0","0","0","0"
"1523","2","01.24.2017 03:37:23.968","3","0","0","0","800000","0,428031444549561","0","0","0","0","0","0"
"1524","2","01.24.2017 03:37:21.158","3","0","0","0","800000","0,0123527133837342","0","0","0","0","0","0"
"1525","2","01.24.2017 03:37:19.748","3","0","0","0","800000","0,645663619041443","0","0","0","0","0","0"
"1526","2","01.24.2017 03:37:18.319","3","0","0","0","800000","0,18321205675602","0","0","0","0","0","0"
"1527","2","01.24.2017 03:37:16.908","3","0","0","0","800000","0,445965439081192","0","0","0","0","0","0"
"1528","2","01.24.2017 03:37:09.778","3","0","0","0","800000","0,182204604148865","0","0","0","0","0","0"
"1529","2","01.24.2017 03:37:14.097","3","0","0","0","800000","0,36858806014061","0","0","0","0","0","0"
"1530","2","01.24.2017 03:37:25.398","3","0","0","0","800000","0,2269356995821","0","0","0","0","0","0"
"1531","2","01.24.2017 03:37:15.508","3","0","0","0","800000","0,178376287221909","0","0","0","0","0","0"
"1532","2","01.24.2017 03:37:08.308","3","0","0","0","800000","0,11349718272686","0","0","0","0","0","0"
"1533","2","01.24.2017 03:37:11.258","3","0","0","0","800000","0,236002892255783","0","0","0","0","0","0"
"1534","2","01.24.2017 03:37:26.808","3","0","0","0","800000","0,269249439239502","0","0","0","0","0","0"
"1535","2","01.24.2017 03:37:22.558","3","0","0","0","800000","0,290003508329391","0","0","0","0","0","0"
"1536","2","01.24.2017 03:37:12.668","3","0","0","0","800000","0,21464467048645","0","0","0","0","0","0"
"1537","2","01.24.2017 03:37:39.618","3","0","0","0","800000","0,238622307777405","0","0","0","0","0","0"
"1538","2","01.24.2017 03:37:28.258","3","0","0","0","800000","-0,0857079848647118","0","0","0","0","0","0"
"1539","2","01.24.2017 03:37:38.208","3","0","0","0","800000","0,169913738965988","0","0","0","0","0","0"
"1540","2","01.24.2017 03:37:41.028","3","0","0","0","800000","0,0472089312970638","0","0","0","0","0","0"
"1541","2","01.24.2017 03:37:45.259","3","0","0","0","800000","0,318213164806366","0","0","0","0","0","0"
"1542","2","01.24.2017 03:37:31.118","3","0","0","0","800000","0,32304909825325","0","0","0","0","0","0"
"1543","2","01.24.2017 03:37:46.668","3","0","0","0","800000","0,349848508834839","0","0","0","0","0","0"
"1544","2","01.24.2017 03:37:42.418","3","0","0","0","800000","0,429038971662521","0","0","0","0","0","0"
"1545","2","01.24.2017 03:37:33.978","3","0","0","0","800000","0,428635954856873","0","0","0","0","0","0"
"1546","2","01.24.2017 03:37:48.088","3","0","0","0","800000","0,145735085010529","0","0","0","0","0","0"
"1547","2","01.24.2017 03:37:29.688","3","0","0","0","800000","-0,0646204426884651","0","0","0","0","0","0"
"1548","2","01.24.2017 03:37:36.798","3","0","0","0","800000","0,268443465232849","0","0","0","0","0","0"
"1549","2","01.24.2017 03:37:32.543","3","0","0","0","800000","0,172734588384628","0","0","0","0","0","0"
"1550","2","01.24.2017 03:37:35.388","3","0","0","0","800000","0,389745771884918","0","0","0","0","0","0"
"1551","2","01.24.2017 03:37:43.837","3","0","0","0","800000","0,153794631361961","0","0","0","0","0","0"
